Acetic acid;CH3COOH
Ascorbic acid;C6H8O6
Benzoic acid;C7H6O2
Resorcinol;C6H6O2
Chlorine;Cl2
Ammonium nitrate;NH4NO3
Carbon tetrachloride;CCl4
Nitrous acid;HNO2
Maleic acid;C4H4O4
Sodium metabisulfite;Na2S2O5
Sodium Hypochlorite;NaClO
Acetamide;C2H5NO
Magnesium carbonate;MgCO3
Dichloromethane;CH2Cl2
Carbon Disulfide;CS2
Potassium chromate;CrK2O4
Zinc sulfate;ZnSO4
Iodine;I
Tannic acid;C76H52O46
Aluminum;Al
Perchloric acid;HClO4
Citric acid;C6H8O7
Potassium Bromide;KBr
Chromic acid;H2CrO4
Dihydrogen monoxide;OH2
Methyl acetate;C3H6O2
Dimethyl sulfoxide;C2H6OS
Hexane;C6H14
Phosphoric acid;H3PO4
Eugenol;C10H12O2
Manganese dioxide;MnO2
Dimethyl sulfoxide;C2H6OS
Lactic acid;C3H6O3
Sodium potassium tartrate;C4H4O6KNa4H2O
Hexamine;C6H12N4
Lithium hydroxide;LiOH
Dimethyl sulfoxide;C2H6OS
Phosphorus pentachloride;PCl5
Potassium oxide;K2O
Potassium phosphate;KH2PO4
Silver acetate;AgC2H3O2
Sodium citrate;Na3C6H5O7
Sodium fluoride;NaF
Sodium nitrite;NaNO2
Barium carbonate;BaCO3
Calcium iodide;CaI2
Lithium oxide;Li2O
Dimethylglyoxime;C4H8N2O2
Permanganate;KMnO4
Silver phosphate;Ag3PO4
Sodium carbonate;Na2CO3
Ammonium bromide;NH4Br
Dichromate;K2Cr2O7 
Aluminum sulfide;Al2S3
Barium chloride;BaCl2
Hydroiodic acid;HI
Nitrogen monoxide;NO
Potassium carbonate;K2CO3
Potassium iodide;KI
Potassium nitrate;KNO3
Sodium oxide;Na2O
Fructose;C6H12O6
Magnesium iodide;MgI2
Magnesium sulfide;MgS
Ozone;O3
Potassium cyanide;KCN
Silver oxide;Ag2O
Sodium chromate;Na2CrO4
Sodium peroxide;Na2O2
Toluene;C7H8
Zinc carbonate;ZnCO3
Zinc sulfide;ZnS
Para dichlorobenzene;C6H4Cl2
Boric acid;H3BO3
Potassium bicarbonate;KHCO3
Potassium hypochlorite;KClO
Potassium nitrite;KNO2
Bromothymol Blue;C27H28Br2O5S
Ammonium iodide;NH4I
Ammonium nitrate;NH4NO3
Ammonium nitrite;NH4NO2
Argon gas;Ar
Barium bromide;BaBr2
Barium iodide;BaI2
Dinitrogen trioxide;N2O3
Ethylene glycol;C2H6O2
Hypochlorous acid;HClO
Nickel sulfate;NiSO4
Helium;He
Iodide;I
Lithium chloride;LiCl
Potassium fluoride;KF
Potassium sulfite;K2SO3
Silver carbonate;Ag2CO3
Sodium cyanide;NaCN
Sodium nitride;Na3N
Strontium chloride;SrCl2
Urea;CH4N2O 
Bleach;NaClO
Carbonic acid;H2CO3
Lithium bromide;LiBr
Aluminum fluoride;AlF3
Barium fluoride;BaF3
Butanoic acid;C4H8O2
Calcium hydride;CaH2
Copper ii carbonate;CuCO3
Ethanol;CH3CH2OH
Fluorine;F
Lithium phosphate;Li3PO4
Glycerol;C3H8O3
Hypobromous acid;HBrO
Hypoiodous acid;HIO
Lead iodide;PbI2
Lithium iodide;LiI
Magnesium oxide;MgO
Urethane;C3H7NO2
Potassium chloride;KCl
Potassium nitrate;KNO3
Sodium dichromate;Na2Cr2O7
Sodium nitrate;NaNO3
Tartaric acid;C4H6O6
Zinc iodide;ZnI2
Bromine;Br
Aluminum bromide;AlBr3
Sodium Percarbonate;C2H6Na4O12
Nickel acetate;C4H8O4Ni
Sodium Thiosulfate;Na2S2O3
Acetaldehyde;C2H4O
Copper sulfate;CuSO4
Mannitol;C6H14O6
Calcium Chloride;CaCl2
Hydrocyanic acid;HCN
Monosodium Glutamate;C5H8NO4Na
Calcium Carbide;CaC2
Tetrachloroethylene;C2Cl4
Sodium Chlorate;NaClO3
Potassium Iodate;KIO3
Sodium Percarbonate;C2H6Na4O12
Potassium Thiocyanate;KSCN
Butane;C4H10
Maltose;C12H22O11
Polyurethane Foam;C27H36N2O10
Formaldehyde;CH2O
Formic Acid;HCOOH
Sulfur Hexafluoride;SF6
Phosphorus Trichloride;PCl3
Ethane;C2H6
Dinitrogen Pentoxide;N2O5
Phosphorous Acid;H3PO3
Xenon Difluoride;XeF2
Diatomic Bromine;Br2
Phenyl;C6H5
Phosphorus Triiodide;PI3
Peroxydisulfuric Acid;H2S2O8
Monopotassium Phosphate;KH2PO4
Dipotassium Phosphate;K2HPO4
Chloroacetic acid;C2H3O2Cl
Potassium acetate;CH3CO2K
Barium oxide;BaO
Copper(I) Oxide;Cu2O
Lithium Bromide;LiBr
Tin Oxide;SnO2
Chlorine Trifluoride;ClF3
Ethylene;C2H4
Acetylene;C2H2
Chromic Oxide;Cr2O3
Sodium bisulfate;NaHSO4
Copper (II) chloride;CuCl2
Mercuric chloride;HgCl2
Tin (II) chloride;SnCl2
Propane;C3H8
Lead (IV) oxide;PbO2
